Federal organization,Fiscal year,GHG source,GHG scope,Energy category,Energy use (GJ),Emissions (kt)
Agriculture and Agri-Food Canada,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",2134.891557,0.14988913
Agriculture and Agri-Food Canada,2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",41332.37698,2.915520954
Agriculture and Agri-Food Canada,2005-06,facilities,2,district heating,154568.0027,11.29702274
Agriculture and Agri-Food Canada,2005-06,facilities,2,electricity,524494.5371,54.28441469
Agriculture and Agri-Food Canada,2005-06,fleet,1,fuels with renewable content,14431.98236,0.591274739
Agriculture and Agri-Food Canada,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",57820.60993,4.115908835
Agriculture and Agri-Food Canada,2005-06,fleet,1,gasoline,68145.89487,4.540532734
Agriculture and Agri-Food Canada,2005-06,facilities,1,natural gas,446241.2168,22.06820373
Agriculture and Agri-Food Canada,2005-06,facilities,1,liquified petroleum gas,1769.303197,0.107954173
Agriculture and Agri-Food Canada,2005-06,fleet,1,liquified petroleum gas,68.28636588,0.004155838
Canada Border Services Agency,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",1427.134295,0.100198056
Canada Border Services Agency,2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",5738.144897,0.410221395
Canada Border Services Agency,2005-06,facilities,2,electricity,110717.7371,4.781845083
Canada Border Services Agency,2005-06,fleet,1,fuels with renewable content,865.8678436,0.05334446
Canada Border Services Agency,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",11264.33692,0.801841817
Canada Border Services Agency,2005-06,fleet,1,gasoline,59515.80322,3.940302063
Canada Border Services Agency,2005-06,facilities,1,natural gas,52131.15904,2.579159408
Canada Border Services Agency,2005-06,facilities,1,liquified petroleum gas,2338.669314,0.142694111
Canada Revenue Agency,2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",925.9025564,0.066204523
Canada Revenue Agency,2005-06,fleet,1,gasoline,5003.914655,0.331223438
Canadian Food Inspection Agency,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",686.6791177,0.048211226
Canadian Food Inspection Agency,2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",720.9590111,0.050615386
Canadian Food Inspection Agency,2005-06,facilities,2,district heating,10285.4375,0.858116936
Canadian Food Inspection Agency,2005-06,facilities,2,electricity,117251.5321,14.25224941
Canadian Food Inspection Agency,2005-06,fleet,1,fuels with renewable content,5509.270744,0.338063426
Canadian Food Inspection Agency,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",2915.786041,0.217795813
Canadian Food Inspection Agency,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",27248.47831,1.939658394
Canadian Food Inspection Agency,2005-06,fleet,1,gasoline,89176.45347,5.905154352
Canadian Food Inspection Agency,2005-06,facilities,1,natural gas,188363.7186,9.313354479
Canadian Food Inspection Agency,2005-06,facilities,1,liquified petroleum gas,486.3823872,0.029676652
Canadian Forces Morale and Welfare Services,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",16.07857311,0.001128864
Canadian Forces Morale and Welfare Services,2005-06,facilities,2,electricity,29947.08745,1.913285988
Canadian Forces Morale and Welfare Services,2005-06,facilities,1,natural gas,10502.359,0.514650502
Canadian Space Agency,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",847.4712806,0.059500329
Canadian Space Agency,2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",8.087691396,0.000567801
Canadian Space Agency,2005-06,facilities,2,electricity,47992.47866,1.244459582
Canadian Space Agency,2005-06,facilities,1,natural gas,22271.76865,1.084972203
Canadian Space Agency,2005-06,facilities,1,liquified petroleum gas,122.3114033,0.007462842
Canadian Space Agency,2005-06,fleet,1,liquified petroleum gas,2.245641604,0.000137018
Correctional Service Canada,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",7344.120658,0.515625172
Correctional Service Canada,2005-06,fleet,1,natural gas,0.598306276,3.39E-05
Correctional Service Canada,2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",3023.976013,0.216222441
Correctional Service Canada,2005-06,facilities,2,electricity,727361.8155,53.38256034
Correctional Service Canada,2005-06,fleet,1,fuels with renewable content,1804.309193,0.083394077
Correctional Service Canada,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",47272.47131,3.531038055
Correctional Service Canada,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",58983.30153,4.198673297
Correctional Service Canada,2005-06,fleet,1,gasoline,37334.21094,2.471579376
Correctional Service Canada,2005-06,facilities,1,natural gas,1538443.148,75.86874873
Correctional Service Canada,2005-06,facilities,1,liquified petroleum gas,10169.92058,0.620518676
Correctional Service Canada,2005-06,fleet,1,liquified petroleum gas,1067.170776,0.064946894
Crown-Indigenous Relations and Northern Affairs Canada,2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",130.4497938,0.009327515
Crown-Indigenous Relations and Northern Affairs Canada,2005-06,facilities,2,electricity,621.0391997,1.53E-01
Crown-Indigenous Relations and Northern Affairs Canada,2005-06,fleet,1,fuels with renewable content,0.474039908,2.92E-05
Crown-Indigenous Relations and Northern Affairs Canada,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",2740.805821,0.195101786
Crown-Indigenous Relations and Northern Affairs Canada,2005-06,fleet,1,gasoline,1110.340157,0.073506049
Employment and Social Development Canada,2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",207.1647224,1.48E-02
Employment and Social Development Canada,2005-06,fleet,1,fuels with renewable content,111.568718,0.006873536
Employment and Social Development Canada,2005-06,fleet,1,gasoline,21035.28259,1.392384727
Employment and Social Development Canada,2005-06,fleet,1,liquified petroleum gas,2.809409052,0.000170978
Environment and Climate Change Canada,2005-06,fleet,1,aviation fuel,755.9428444,0.05609923
